specialty,procedure_slug,procedure_name,image,width,height,sha256
ent,cochlear-implant-surgery,Cochlear Implant Surgery,public/assets/img/final/procedure-cochlear-implant-surgery.webp,1400,933,70f2e218704402aba22dfcae4a04be1c78dfc4c4bcd8db6ca9cd038ef4c0d62d
ent,functional-endoscopic-sinus-surgery,Functional Endoscopic Sinus Surgery,public/assets/img/final/procedure-functional-endoscopic-sinus-surgery.webp,1400,933,873b6b5d2b49a7eb7257107abd286a20154bf98c8811cd6d5267fe02a75f8535
ent,septoplasty,Septoplasty,public/assets/img/final/procedure-septoplasty.webp,1400,933,71466a6575eea3db860cde1aebe2d7552bf7ec37e7c6d47f03489bc879d4bddc
ent,sleep-apnea-surgery,Sleep Apnea Surgery,public/assets/img/final/procedure-sleep-apnea-surgery.webp,1400,933,0924b144061462161ac86f236eaaef5cf06c3f30d35bf262db4f09f60225a674
ent,stapedectomy-stapedotomy,Stapedectomy / Stapedotomy,public/assets/img/final/procedure-stapedectomy-stapedotomy.webp,1400,933,28c4df9ea36eed8681ad1cdc18064cdb15293d8d38b6561c53f880b4733b934a
ent,tonsillectomy,Tonsillectomy,public/assets/img/final/procedure-tonsillectomy.webp,1400,933,0d33af4b19b55d33f79bff3a86d914ca8c4c480aa1d76fcf7089785bf0f8288a
ent,turbinate-reduction,Turbinate Reduction,public/assets/img/final/procedure-turbinate-reduction.webp,1400,933,b8590f8bdca1aa1fe1fa6d3c9e6ea71adb8397488163f11bc05ee2ff32af4745
ent,tympanoplasty,Tympanoplasty,public/assets/img/final/procedure-tympanoplasty.webp,1400,933,a9f4c9edbe061bc7b01dcb0bdab34003418e661817a60da7d4f7cadb87e8121a
ent,vocal-cord-surgery,Vocal Cord Surgery,public/assets/img/final/procedure-vocal-cord-surgery.webp,1400,933,c122a8f18adb88c6f768078f2f0a8d9c659aa4b420229b34223361433479bb7e
eye-care,cataract-surgery,Cataract Surgery,public/assets/img/final/procedure-cataract-surgery.webp,1400,933,06952d69c841b0038fb1e8aed0d24005461af34c163898fa58fb661b832ed1d3
eye-care,corneal-cross-linking,Corneal Cross-Linking,public/assets/img/final/procedure-corneal-cross-linking.webp,1400,933,47c6ac7533f5843b9449ada44e135f21d90d2972296c8a0796c7dba7896e067b
eye-care,corneal-transplant,Corneal Transplant,public/assets/img/final/procedure-corneal-transplant.webp,1400,933,c2e5b2b4d83b9a0ec8746ff1e14710a70bf79e743e5aea49653437663e1aaf08
eye-care,glaucoma-surgery,Glaucoma Surgery,public/assets/img/final/procedure-glaucoma-surgery.webp,1400,933,290c6e66d947760d17ea89c55061658cfd0feec68fbe554d918d68d894428474
eye-care,implantable-collamer-lens-icl,Implantable Collamer Lens (ICL),public/assets/img/final/procedure-implantable-collamer-lens-icl.webp,1400,933,49f0f96d1c60f1baad85954748d5c6eb4d959457ef5f7c1cbec611a56f08257e
eye-care,lasik,LASIK,public/assets/img/final/procedure-lasik.webp,1400,933,55bded2e7a3b0b597d6a75b15d6afcf848d2b36623f14da1190055ef861eaddc
eye-care,prk,PRK,public/assets/img/final/procedure-prk.webp,1400,933,5bd4b5e127e6789e7bc764e53fa08bc7cdb634e2726ee9e33002758c6d69cdfd
eye-care,refractive-lens-exchange,Refractive Lens Exchange,public/assets/img/final/procedure-refractive-lens-exchange.webp,1400,933,27ed9c2f36ebd7dc663d4d6046c8709a085f4c19eeae7a106948d762cd843fa4
eye-care,retinal-vitrectomy-surgery,Retinal / Vitrectomy Surgery,public/assets/img/final/procedure-retinal-vitrectomy-surgery.webp,1400,933,37a814e94cc1cf9a722839eac2ec2781e4beeeac52ea4f406732d497a3b57dcb
eye-care,smile-laser-eye-surgery,SMILE Laser Eye Surgery,public/assets/img/final/procedure-smile-laser-eye-surgery.webp,1400,933,3216d31d4e64051be8045a5d0939a168e3ccb6d05db910c01967c5ed3c6f5422
fertility,egg-freezing,Egg Freezing,public/assets/img/final/procedure-egg-freezing.webp,1400,933,a2e12a478a037998446f9d231d08c867362213442e57306883ddb2497cd28af8
